KIRA_R25_AFES_CONTRACT_LOCK_DIAGNOSTIC_AUDIT_V3R16	1
decision	REJECT
auditor	codex_v3r16_fresh_exact_byte_hostile_static_auditor
author	codex_r25_afes_v3r16_static_author_blackwell_v9_agent
native_executable_sha256	98e71cdf1817ca6b693b43a1f8f68fbf8c5c41d8451900cd2a719bcac6ddfc7f
identity_anchor_sha256	d3f220cfb1745d9979d24160b77df4e20bdc0d03507b60105963880f5ce4c51d
contract_sha256	b28c8778a10ffae5c163ca9ee49429c532841ecb12e9230ea66564ad3ed704df
native_source_sha256	0ab71d6f8e303bb81eb787b4d52e716103d8dc632e5f8cdec426501fbb5bf789
static_test_sha256	3227c11a38ab7b5e716b2386a014e40e0ca061bbed2fc7051ff1dce9963b9408
runtime_control_checkpoint_sha256	44a174e107baa9f119e1b8a391833d2d3fb78cfd2c15d91b7bbff6c4683d1128
v3r15_postmortem_checkpoint_sha256	a10be9a0430aa42d1ef6411257c70057411014d07109ae9160541e7739e4b414
v3r15_read_only_recheck_sha256	904c4c28451008cc1e49f5a90353ea80b828d3177df388d3912a4b16cb97cbbd
v3r15_contract_sha256	ad33386d767b516425dcbed073e22dfc9747a963a64dc5d205483d210acac79d
v3r15_audit_checkpoint_sha256	61b28a4f4e62f2713a74991c0f669f709f45782e131377210d266be484c07dfd
rejection_reason	outer_checkpoint_exact_byte_seal_mismatch_and_required_audit_path_binding_mismatch
