row_id	status	evidence_sha256	finding
01_stage1_seal	FAIL	2c4b031fc223282cebf42ff4e1d0403f4ab2914766d03f6847d91bdf73a8e1f6	Current 19 files and 18-subject root are exact, but the external root does not bind the seal bytes and authority-bearing seal mutations pass parse_stage1.
02_upstream_17	PASS	242f0751bcb9bf0fd61b5e9b7abc98c516becac143c000750444bd27e6c6507e	All 11 V3r27 author and 6 V3r27 rejection predecessor rows resolve and rehash exactly.
03_static_only	PASS	4a4a6f3b6f28cd4e36545999c62248030f11171151ba40ecb9ea70c94cdb8c2d	The sealed hard-disabled PE rebuilds reproducibly, contains the unmateralized refusal, and has no Blender or process-launch surface.
04_two_stage_authority	FAIL	c476d5de53016e982f910651a38b73e71e7eece5cda54148c4877e2df4c90c00	Audit decision exact types are not enforced and the one-materialization ceiling has no durable consumed record.
05_blender_identity	PASS	1e6624af112b3c936f4b038b025ebd2bf00ae72c4b62881a6787166d71c58fa5	The exact fixed Blender 5.1 executable path is 108687824 bytes with the sealed SHA-256.
06_native_handle_locking	FAIL	6e39392edff37503f70c5609201ef66f730a7a848a296e62b595b095ff5b3e4f	Input handles are retained, but final output and manifest handles close before the durable success-ledger transition and output path objects are not pre-reserved.
07_one_shot_ledger	PASS	6e39392edff37503f70c5609201ef66f730a7a848a296e62b595b095ff5b3e4f	The future native attempt ledger is fixed-size CREATE_NEW and has pending, success, and failure consumed states; no native attempt occurred.
08_worker_factory_isolation	PASS	68b2a4fa045e8c6c65ef095921a1452d6c117b8a41ddb895bd11724fa69469d2	The worker binds background factory startup, disabled-autoexec launch arguments, exact version, empty input, and closed Blender data surfaces.
09_frame_landmarks	PASS	52b82968c1f64b4c606b54ed33fe13e9e9fabd5197ef1aa26df193285c45b3bf	Eight normalized landmark gates and positive-Y anterior camera orientation are implemented and mocked hostile mutations refuse.
10_proxy_truth	PASS	dcc18f0d882b687a61c17ec5e2bfef4f84ba8574f575e68381714e183dc878b5	The exact claim is limited to nine normalized reference proxies with six clinical materials and no functional-organ or Kira-fit claim.
11_hostile_geometry	PASS	b6dc9d46ee26e3875806cc7b84022c574411910a47145f32499865d0705c1185	Author 18 geometry/frame hostile cases refuse and independent authority/control-flow probes reproduced separate blocking false accepts.
12_output_revalidation	FAIL	a18ffe5786718d54b2b6a200d511ef1437e2d494fb08187465777be720912e6a	Late hashes, PNG decoding, and an exact receipt are positive, but full materialized analysis fails and validated handles are released before success becomes durable.
13_license_quarantine	PASS	da345fba3e69ce2ed2ab1d77af626a22232ddc95f62360d2dfdb48be0a04c2d9	Seven reference rows preserve CC BY attribution, CC BY-NC quarantine, unknown-license quarantine, and no source mesh import or topology copy.
14_claim_boundary	PASS	9847fe6280eb4d7b12f25b0886021e2a7370a076b4fb8654b80c3c9507448ec6	The contract correctly denies body, complete anatomy, function, physiology, rig, production materials, hair, activation, and Avatar Builder claims.
