row_id	status	evidence_sha256	finding
01_stage1_subject_root	PASS	7e2137574dfbb4ba681c7a7b9b71e7da63e7c9daf4f6be388496285b220f08fe	Rehashed 25 sealed subjects and reproduced canonical root 7da17e6d91098da0d5dca1229984217861f75bdad4579743a9177688d49369a8.
02_stage1_seal_external_sha	PASS	7e2137574dfbb4ba681c7a7b9b71e7da63e7c9daf4f6be388496285b220f08fe	External seal is 7821 bytes with SHA-256 1aad04c907a89248bacf222f7e3989c0a69480f51c561c1c17a6123c69664e29.
03_stage1_all_files_external_root	PASS	7e2137574dfbb4ba681c7a7b9b71e7da63e7c9daf4f6be388496285b220f08fe	All 26 exact flat files produce Python-ordinal inventory root 4ff08a82f0d8262d925cfc091cad8da9cd92d753cfefa53cb00a14c6203d4cca.
04_upstream_v3r29_and_rejection	PASS	645530e5b924155d71b844f49b910b3c11ce36d59f18e37ea1248a148580eccf	Rehashed 33 direct V3r29 plus 28 nested V3r28 plus 17 deep V3r27 bindings as 78 unique exact paths including the preserved V3r29 rejection.
05_static_only	PASS	645530e5b924155d71b844f49b910b3c11ce36d59f18e37ea1248a148580eccf	Audit remained cache-free and static or test-owned; no materializer main native product Blender bpy worker or live path ran.
06_two_stage_authority	PASS	c9070354d19033be44e3d2fd16031c8dbcabd9717c806048c6aa6e71392db5db	Grammar separates Audit A materialization-only authority from separate ProgramData install review and different Audit B; this rejection grants none.
07_blender_identity	PASS	645530e5b924155d71b844f49b910b3c11ce36d59f18e37ea1248a148580eccf	Exact Blender identity is 108687824 bytes and SHA-256 1e6624af112b3c936f4b038b025ebd2bf00ae72c4b62881a6787166d71c58fa5.
08_materialized_native_analyzer	PASS	fc28e47379d1e0a32256f3ec853d5926e5215e2b16036c4f00f4730a6606e585	Two independent strict Brepro builds match the sealed materialized EXE and analyzer XML reports zero unsuppressed defects; no product ran.
09_exact_audit_json_types	PASS	2a8d39b7952efe53d959121f19c0a3b8685d0be55867645d7210f5ef44ac34d9	Exact Audit-A and install-authority positive snapshots parsed and all 12 independent type anchor unbound-file and separation hostiles refused.
10_durable_materialization_consumption	PASS	2a8d39b7952efe53d959121f19c0a3b8685d0be55867645d7210f5ef44ac34d9	Held RootDirectory-relative atomic-create identity DACL readback and retry-refusal probes pass under test-owned roots; ProgramData stayed read-only and target absent.
11_native_pre_reserved_outputs	FAIL	2a8d39b7952efe53d959121f19c0a3b8685d0be55867645d7210f5ef44ac34d9	Seven identities are pre-reserved but file and staging-directory handles omit WRITE_DAC so both required SetSecurityInfo transitions return ERROR_ACCESS_DENIED and launch_worker is unreachable.
12_handles_through_terminal_success	PASS	2a8d39b7952efe53d959121f19c0a3b8685d0be55867645d7210f5ef44ac34d9	Static control flow retains seven staging and eight final no-delete-share handles through terminal success and revalidation if earlier gates could pass.
13_worker_factory_isolation	PASS	645530e5b924155d71b844f49b910b3c11ce36d59f18e37ea1248a148580eccf	Worker surface remains fixed factory-startup isolated no-import no-export no-network and no-live activation with sealed spec frame and capability bindings.
14_frame_landmarks	PASS	645530e5b924155d71b844f49b910b3c11ce36d59f18e37ea1248a148580eccf	Eight finite synthetic normalized anchors and camera placements pass exact ordering and clearance gates and are explicitly not Kira measurements.
15_proxy_truth	PASS	645530e5b924155d71b844f49b910b3c11ce36d59f18e37ea1248a148580eccf	Truth is limited to an isolated normalized nine-object clinical reference proxy with no body functional organ physiology fit or activation claim.
16_hostile_geometry	PASS	645530e5b924155d71b844f49b910b3c11ce36d59f18e37ea1248a148580eccf	Eighteen mocked worker hostiles and four staging identity hostiles refuse while exact dimensions relations vertices materials and distinct-view gates pass.
17_license_quarantine	PASS	645530e5b924155d71b844f49b910b3c11ce36d59f18e37ea1248a148580eccf	CC BY attribution reference-only constraints remain bound and CC BY-NC and unknown sources remain quarantined; 136 skeleton rows stay unmapped and unused.
18_claim_boundary	PASS	67d9bb5b380f42c6070e12b7be19c53df285e04fcca56df467a7ef87104e1daa	V3r30 is rejected static preparation only and is not Kira's body complete anatomy functional anatomy activation or Avatar Builder evidence.
