path	bytes	sha256	before_status	after_status
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/candidate_config.json	1520	9514b85374ea5f74361691845c3fbbe10a394f65a24077f12003ca118703c1e4	EXACT	EXACT
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/native_control_contract.json	3616	942a1274c16755dbe75e48aae224b3be76fbb96a97d6d3984c982c83e415670f	EXACT	EXACT
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/README.md	1492	25ab177eb925ee10887135797a6876142195be39b4cfdc5fad5e90c7fc670577	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v17.c	83635	850cc18c8084c1cf4a0a8c8353289067bcbe8e7a27cc87fa77287f81b26cd1bc	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v17_identity_anchor.h	6591	8fb7df074a1eb658cdefc7c84aa5d441e8397a6863b79fbeee7901b096b67e94	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v17.obj	127137	17b7dbf117ecba86a6c4e013b8a45fff7722c37a6139fd3cfb7605fda515ad42	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v17.exe	157696	52a4376025bdb08902396c033b66d1626c126e56fcb8134bddb79979cb068a4a	EXACT	EXACT
Testing/test_blackwell_persistent_voice_candidate_v17_native_anchor_static.ps1	9810	1ff5a11a3aaa4f8cd263a6f57376890adc1cb9ff69042718e1d0c2e1aa3407c1	EXACT	EXACT
Testing/native/kira_blackwell_voice_control_anchor_v17_parser_hostile.c	18529	d8bf5e2b65131b09445e72d31efda1a4b784cfca9d76e78c49c2046f3201875b	EXACT	EXACT
Testing/native/kira_blackwell_voice_control_anchor_v17_manifest_fixture.h	72665	c9959c338e519d87d3ca26b356647b0c7bd581fff70b0b41c6db3a316d5e395b	EXACT	EXACT
Testing/native/kira_blackwell_voice_control_anchor_v17_parser_hostile.obj	180891	33685ba65cfbce5d4aa1220478add7b741071347a18d9ceaeb6ac81a3ce48369	EXACT	EXACT
Testing/native/kira_blackwell_voice_control_anchor_v17_parser_hostile.exe	184320	123c874a7d0e3b1c58fdb787c69a8f78e966da99baa8d3b88b2a434e0a6999dc	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	1729	0266267d5b493f5e44ef3eee2d51efa953bd4612caf5f890a4890aebb8911c84	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/AUTHOR_PACKAGE.json	1993	3a7b6974141e2f1223a08618634eb48a9ae80146b4ed35d0a0928a873082a755	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	3326	73e00e91d32e673bc499a606561e7c75d43cbe470c9de1924debe882147bedd5	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	11748	64fad216711534d8e1e3c014ae616fc651b36f70847c6efc18d55566dc5ab75a	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/CHECKPOINT.md	3498	e34555c5112fd33ced5749658ab9e7cb9f36c92a4bd41442b861e5d873ab5d71	EXACT	EXACT
