KIRA_BLACKWELL_VOICE_V15_NATIVE_EXACT_CONTROL_AUDIT	1
auditor	codex_different_fresh_voice_v15_quality_reviewer
decision	ACCEPTED_FOR_ONE_BOUNDED_DISCONNECTED_STATIC_CONTROL_VALIDATION_V15_ONLY
seal_bytes	4557
seal_sha256	f3d451041796c2bfbdf5dbe52f3a485b227f67b01af051e9e95c35b40549d932
self_bytes	175104
self_sha256	7d8b807b54df5c980ecca2758e1d4359b3d385e3382839b8fd3101c16ede0a4f
header_bytes	2388
header_sha256	84d6b215c0b0a5d57ef3fdc167c40d8abdcbdf3622da5b3443bb426f35d5b0c4
sealed_subject_count	21
all_subjects_exact	true
four_v14_blockers_closed	true
self_module_replacement_refused	true
class_method_bypass_refused	true
control_state_revalidated	true
config_quarantine_loader_exact	true
production_routing_authorized	false
live_execution_authorized	false
synthesis_authorized	false
playback_authorized	false
latency_run_authorized	false
audit_nonce	20c17add5dc431566ec12833815823005efc562c7cb1e3cd85e7fc294cd0c8f3
