KIRA_QWEN35_LONG_TURING_HEALTH_BODY_VOICE_V6_AUDIT	1
decision	REJECT
auditor	codex_v6_different_fresh_exact_byte_hostile_static_auditor
execution_plan_sha256	fdc68423b05c562819846b53a94b867463c5a5376ef1752cdd7cc9ad22047a88
controller_sha256	95ab9175ae6683803292af1478c82a6d7d3f28148e6a7b69855ff53a16d8e6f3
author_test_sha256	050f165cd6ea33fb77968a9105b0263385fbd102ac98d552d19bb138250a0174
author_result_sha256	702f3e3d1040f1908ae48136392e8e1fc9e881bd6bf756dca73a089d0d2d1d07
static_seal_manifest_sha256	df2c712895529b4696492cc91c0569a1ea5b0a88227f7277c2b2a896a9d7c316
checkpoint_sha256	22bed8a96cd519d38aa6fbe47cad61c14e3bfca1f2469d7387a32158d1b2f3d1
independent_test_sha256	868bebaf5005a075ce1feed85ddc1370bc1c879787658d6611c683c7ae6baadf
independent_passed	24
independent_failed	15
live_authority	NONE
